,essay_id,essay_set,essay,final_score,clean_essay,char_count,word_count,sent_count,avg_word_len,spell_err_count,noun_count,adj_count,verb_count,adv_count
0,1,5,"In this memoir of Narciso Rodriguez, life, the mood containing it all, was greatful, and showed how his parents gave him love through his whole life. Both his parents were born and raised in Cuba, and in 1956, they both moved to the United States. Starting their lives over again, and taking any job they could find. Then in 1961, was born. Both Parents raised him with love, and care, and introducing his Cuban background into his life. As was telling his story, all readers could tell how greatful he was to have a family like he did. Also, as he shared his non-â blood related family, and the remembrence on how his parents' life changed by moving to he showed the respect he had towards them.",5,In memoir Narciso Rodriguez  life  mood containing  greatful  showed parents gave love whole life  Both parents born raised Cuba    moved United States  Starting lives  taking job could find  Then   born  Both Parents raised love  care  introducing Cuban background life  As telling story  readers could tell greatful family like  Also  shared non blood related family  remembrence parents  life changed moving showed respect towards ,547,127,7,4.307086614173229,5,29,28,4,3
1,2,5,"Throughout the excerpt from Home the Blueprints of Our Lives, Narciso Rodriguez, the author, manages to maintain a single overall mood. In many parts of the story he tells about how much he loved his childhood so it lead me to think was nostalgia, but nowhere does it emphasize that he yearns to return to past times. He always declared how loving and selfless his family was, how they aided others, and how he became"" family"" with his neighbors. Due to this I have found the tone to be, loving and admiring towards his parents. This is so due to the fact that he states how his parents were so brave to leave their lives in Cuba behind just so he could have a better life. Narciso Rodriguez also remarks numerous times on how his parents helped so many in need. If in Rodriguez's position I would love and admire my parents just as much, if not more, for their selfless deeds and upbringing of their son.",5,Throughout excerpt Home Blueprints Our Lives  Narciso Rodriguez  author  manages maintain single overall mood  In many parts story tells much loved childhood lead think nostalgia  nowhere emphasize yearns return past times  He always declared loving selfless family  aided others  became  family  neighbors  Due I found tone  loving admiring towards parents  This due fact states parents brave leave lives Cuba behind could better life  Narciso Rodriguez also remarks numerous times parents helped many need  If Rodriguez s position I would love admire parents much   selfless deeds upbringing son ,720,168,7,4.285714285714286,11,37,31,14,12
2,3,5,"The mood the author created in the memoir is love. the author finds out that family doesn't have to be blood related. In the author's neighborhood ""despite customs elsewhere, all of these cultures came together in solidarity and friendship"" (@NUM1). The author loves thier parents because they came ""as many immagrants do, to give their children a better life"" (@NUM2). The author is very greatful that her parents ""Mother and father had come to this country with such courage, without any knowledge of the language or the culture"" (@NUM3). The author's parents gave him a great life by moving to and ""turned this simple house into a",8,The mood author created memoir love  author finds family nt blood related  In author s neighborhood  despite customs elsewhere  cultures came together solidarity friendship    NUM   The author loves thier parents came  many immagrants  give children better life    NUM   The author greatful parents  Mother father come country courage  without knowledge language culture    NUM   The author s parents gave great life moving  turned simple house,500,110,6,4.545454545454546,6,34,19,9,4
3,4,5,The mood created by the author is showing how cuban's lived and about Their cultra and how they lived and some people from other cultra's could be diffrent and don't cared about their cultra's and some people do care about their cultra like narciso parents. that is what the author is trying to say. and that some people should respect their cultra and not To be a different cultra.,2,The mood created author showing cuban s lived Their cultra lived people cultra s could diffrent nt cared cultra s people care cultra like narciso parents  author trying say  people respect cultra To different cultra ,307,73,3,4.205479452054795,8,16,15,8,1
4,5,5,"The mood created in the memoir is happiness and gratitude. Narciso is grateful of his parents for moving to and still give him warm happy feeling of a house in Cuba. His parents passed down their culture to him and he is happy that they did. Narciso is glad to have lived in the home that they did, and all the opertunities that he had as a child. He is grateful that his family always got together and had a feast with cuban music, activities, and food. His parents gave up their jobs and had to Start their lives over entirely. Narciso is also grateful that he learned the real definition of ""family"". He is also very grateful to his parents for their love and sacrifice.",8,The mood created memoir happiness gratitude  Narciso grateful parents moving still give warm happy feeling house Cuba  His parents passed culture happy  Narciso glad lived home  opertunities child  He grateful family always got together feast cuban music  activities  food  His parents gave jobs Start lives entirely  Narciso also grateful learned real definition  family   He also grateful parents love sacrifice ,535,126,8,4.246031746031746,4,28,22,11,9
5,6,5,"The mood definitely helps you feel and comprehend the story better. The mood is a mixture of both happy and sad because of the way the author states his ideas. For example, the sentence ""I will never forget how my parents turned this simple house into a home"" makes me feel sad because he grew up and everything is just memories now but he keeps those happy memories. Most of other ideas like ""I will be grateful to my parents for their love and sacrifice"" also carry the same reasons for being happy or sad. However statements like ""My mother and father came to this country with such courage, without any knowledge of the language or the culture"" makes me feel happy that his parents were so determind. Overall the main idea is remembering the good and bad times of his life and the mood for this idea is happy/sad.",8,The mood definitely helps feel comprehend story better  The mood mixture happy sad way author states ideas  For example  sentence  I never forget parents turned simple house home  makes feel sad grew everything memories keeps happy memories  Most ideas like  I grateful parents love sacrifice  also carry reasons happy sad  However statements like  My mother father came country courage  without knowledge language culture  makes feel happy parents determind  Overall main idea remembering good bad times life mood idea happysad ,653,151,6,4.324503311258278,1,36,22,18,9
6,7,5,"In Narciso Rodriguez's memoir from ""Home: The Blueprints of Our Lives"" he/she incorporated love and passion into the mood. You can tell this by how fondly and strongly Narciso talks about some things. ""Here, the innocence of childhood, the congregation of family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm houses."" In this one sentence alone, you could feel Narciso's passion and love for this home of the their's. Narciso puts a great deal of love and thankfulness into paragraph and when talking about his/her parents. ""It was here where I learned the real definition of 'family'... I will never forget how my parents turned the simple house into a home."" These two sentences are most likely the strongest in Narciso's memoir, these two are also the ones filled with the most passion and meaning. As you can see, in Narciso Rodriguez's memoir from ""Home: The Blueprints of Our Lives"", the mood Narciso puts in it is love and passion.",8,In Narciso Rodriguez s memoir  Home  The Blueprints Our Lives  heshe incorporated love passion mood  You tell fondly strongly Narciso talks things   Here  innocence childhood  congregation family friends  endless celebrations encompassed  formed backdrop life warm houses   In one sentence alone  could feel Narciso s passion love home s  Narciso puts great deal love thankfulness paragraph talking hisher parents   It I learned real definition family   I never forget parents turned simple house home   These two sentences likely strongest Narciso s memoir  two also ones filled passion meaning  As see  Narciso Rodriguez s memoir  Home  The Blueprints Our Lives   mood Narciso puts love passion ,788,175,9,4.502857142857143,13,52,21,7,10
7,8,5,"In the excerpt the mood created by the author is love. Love for family and love for each other. The author talks about his parents in a loving and respectful way, ""I will never forget how my parents turned this simple house into a home."" The author discribes all his parents went through to make their own and his life better. In doing so they turned an apartment into a place of love and caring that he will never forget and more importantly passed this love onto him. The author also talks about his ""family"" and the love shared between them, ""My parents always kept their arms and their door open to the many people we considered family..."" The author's ""family"" wasn't completely blood related. Many people were friends but very close friends that hav become like family and were always welcomed. Finally, the author talks about his community, ""In our neighborhood, despite customs elsewhere, all these cultures came together in great solidarity and friendship."" No matter what nationality they were the comunity was very close together and understanding. It was these basic principles of friendship, trust, love, and caring that were passed onto the author of this excerpt by a varity of people and give the excerpt a mood of love.",10,In excerpt mood created author love  Love family love  The author talks parents loving respectful way   I never forget parents turned simple house home   The author discribes parents went make life better  In turned apartment place love caring never forget importantly passed love onto  The author also talks  family  love shared   My parents always kept arms door open many people considered family   The author s  family  nt completely blood related  Many people friends close friends hav become like family always welcomed  Finally  author talks community   In neighborhood  despite customs elsewhere  cultures came together great solidarity friendship   No matter nationality comunity close together understanding  It basic principles friendship  trust  love  caring passed onto author excerpt varity people give excerpt mood love ,991,214,10,4.630841121495327,9,63,31,12,14
8,9,5,"The mood created by the author in the memoir is grateful and fortunate. Narciso Rodriguez talks about being so fortunate to have his parents and his heritage of being Cuban. From paragraph ""I will always be grateful to my parents for their love and sacrifice."" is saying that was so happy and lucky to have his parents as parents which is the main mood of the memoir.Another mood created by Narciso Rodriguez in his memoir is happiness. makes the story happy by saying how great it was to grow up with his family. also says that his family was a lot of people in his neighborhood as well. is happy to have a great family. From paragraph ""Here, the innocence of childhood, the congregation family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm home.""@CAPS2 are two moods created by Rodriguez in his memoir.",8,The mood created author memoir grateful fortunate  Narciso Rodriguez talks fortunate parents heritage Cuban  From paragraph  I always grateful parents love sacrifice   saying happy lucky parents parents main mood memoirAnother mood created Narciso Rodriguez memoir happiness  makes story happy saying great grow family  also says family lot people neighborhood well  happy great family  From paragraph  Here  innocence childhood  congregation family friends  endless celebrations encompassed  formed backdrop life warm home    CAPS two moods created Rodriguez memoir ,690,153,9,4.509803921568627,6,42,25,13,9
9,10,5,"The author generally stayed in one mood. The mood portrayed in the story was family and friends are very important and they help what you will be in the future. This is why the author stressed how thankful he was that his family had come to to make him a better life and that his friends came over to share their culture. Also the author was saying that even in it was important to remember his cuban blood and culture. This is why he says ""...and a love of cooking that is still with me today (and for which I am eternally grateful). Passionate cuban music (which I adore to this day) filled the air, mixing with the aromas, of the kitchen."" Also the author say's that a home is where geat memeries are and were you grow up, you should never forget it.",8,The author generally stayed one mood  The mood portrayed story family friends important help future  This author stressed thankful family come make better life friends came share culture  Also author saying even important remember cuban blood culture  This says   love cooking still today  I eternally grateful   Passionate cuban music  I adore day  filled air  mixing aromas  kitchen   Also author say s home geat memeries grow  never forget ,590,145,7,4.068965517241379,4,31,31,5,9
